grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step
6.64,0.173,0.452,0.0792,0.0642,0.0938,0.173,0.452,0.0792,0.0642,0.0938,1.83e+07,1.43e+05
6.64,0.174,0.457,0.0796,0.0643,0.0936,0.174,0.457,0.0796,0.0643,0.0936,1.83e+07,1.43e+05
6.48,0.171,0.451,0.0788,0.0635,0.0927,0.171,0.451,0.0788,0.0635,0.0927,1.84e+07,1.43e+05
6.49,0.174,0.452,0.0802,0.0641,0.0936,0.174,0.452,0.0802,0.0641,0.0936,1.84e+07,1.44e+05
6.65,0.173,0.455,0.0785,0.0639,0.0929,0.173,0.455,0.0785,0.0639,0.0929,1.84e+07,1.44e+05
6.37,0.17,0.446,0.0773,0.0628,0.0924,0.17,0.446,0.0773,0.0628,0.0924,1.85e+07,1.44e+05
6.49,0.168,0.447,0.0786,0.062,0.0909,0.168,0.447,0.0786,0.062,0.0909,1.85e+07,1.45e+05
6.47,0.169,0.442,0.0783,0.0632,0.0914,0.169,0.442,0.0783,0.0632,0.0914,1.85e+07,1.45e+05
6.46,0.169,0.445,0.0793,0.0621,0.0918,0.169,0.445,0.0793,0.0621,0.0918,1.86e+07,1.45e+05
6.27,0.171,0.448,0.0788,0.0626,0.0922,0.171,0.448,0.0788,0.0626,0.0922,1.86e+07,1.46e+05
6.52,0.17,0.45,0.0764,0.0623,0.0915,0.17,0.45,0.0764,0.0623,0.0915,1.87e+07,1.46e+05
6.41,0.17,0.442,0.08,0.0645,0.0916,0.17,0.442,0.08,0.0645,0.0916,1.87e+07,1.46e+05
6.52,0.171,0.453,0.0779,0.0621,0.0907,0.171,0.453,0.0779,0.0621,0.0907,1.87e+07,1.46e+05
6.4,0.172,0.453,0.0794,0.0607,0.0919,0.172,0.453,0.0794,0.0607,0.0919,1.88e+07,1.47e+05
6.55,0.172,0.455,0.0787,0.062,0.0906,0.172,0.455,0.0787,0.062,0.0906,1.88e+07,1.47e+05
6.6,0.17,0.45,0.0779,0.0612,0.0911,0.17,0.45,0.0779,0.0612,0.0911,1.89e+07,1.47e+05
6.47,0.171,0.453,0.0781,0.0627,0.0909,0.171,0.453,0.0781,0.0627,0.0909,1.89e+07,1.48e+05
6.43,0.169,0.448,0.0793,0.0622,0.0905,0.169,0.448,0.0793,0.0622,0.0905,1.89e+07,1.48e+05
6.57,0.167,0.446,0.0782,0.0607,0.0905,0.167,0.446,0.0782,0.0607,0.0905,1.9e+07,1.48e+05
6.66,0.169,0.449,0.0786,0.0605,0.0904,0.169,0.449,0.0786,0.0605,0.0904,1.9e+07,1.48e+05
6.55,0.17,0.449,0.0782,0.0615,0.0898,0.17,0.449,0.0782,0.0615,0.0898,1.9e+07,1.49e+05
6.65,0.17,0.451,0.0776,0.061,0.0902,0.17,0.451,0.0776,0.061,0.0902,1.91e+07,1.49e+05
6.49,0.171,0.451,0.0778,0.0618,0.09,0.171,0.451,0.0778,0.0618,0.09,1.91e+07,1.49e+05
6.55,0.17,0.448,0.0779,0.0619,0.0901,0.17,0.448,0.0779,0.0619,0.0901,1.92e+07,1.5e+05
6.58,0.17,0.447,0.0781,0.0613,0.0895,0.17,0.447,0.0781,0.0613,0.0895,1.92e+07,1.5e+05
6.44,0.169,0.452,0.0761,0.0611,0.0904,0.169,0.452,0.0761,0.0611,0.0904,1.92e+07,1.5e+05
6.57,0.17,0.45,0.0777,0.0602,0.09,0.17,0.45,0.0777,0.0602,0.09,1.93e+07,1.51e+05
6.35,0.168,0.454,0.0778,0.0596,0.0888,0.168,0.454,0.0778,0.0596,0.0888,1.93e+07,1.51e+05
6.46,0.169,0.448,0.078,0.0606,0.0894,0.169,0.448,0.078,0.0606,0.0894,1.94e+07,1.51e+05
6.45,0.168,0.448,0.0776,0.0601,0.0894,0.168,0.448,0.0776,0.0601,0.0894,1.94e+07,1.52e+05
6.81,0.171,0.453,0.0792,0.0601,0.0894,0.171,0.453,0.0792,0.0601,0.0894,1.94e+07,1.52e+05
6.36,0.17,0.454,0.0779,0.0601,0.0893,0.17,0.454,0.0779,0.0601,0.0893,1.95e+07,1.52e+05
6.4,0.172,0.457,0.0769,0.0618,0.0892,0.172,0.457,0.0769,0.0618,0.0892,1.95e+07,1.52e+05
6.32,0.169,0.452,0.0772,0.0598,0.0882,0.169,0.452,0.0772,0.0598,0.0882,1.95e+07,1.53e+05
6.36,0.17,0.453,0.0777,0.0596,0.0885,0.17,0.453,0.0777,0.0596,0.0885,1.96e+07,1.53e+05
6.63,0.17,0.454,0.0784,0.0598,0.0881,0.17,0.454,0.0784,0.0598,0.0881,1.96e+07,1.53e+05
6.57,0.17,0.455,0.0789,0.0599,0.0884,0.17,0.455,0.0789,0.0599,0.0884,1.97e+07,1.54e+05
6.42,0.172,0.456,0.0802,0.0603,0.0893,0.172,0.456,0.0802,0.0603,0.0893,1.97e+07,1.54e+05
6.4,0.167,0.443,0.0789,0.0598,0.0893,0.167,0.443,0.0789,0.0598,0.0893,1.97e+07,1.54e+05
6.51,0.169,0.447,0.0783,0.0603,0.0887,0.169,0.447,0.0783,0.0603,0.0887,1.98e+07,1.54e+05
6.43,0.169,0.45,0.079,0.0594,0.0888,0.169,0.45,0.079,0.0594,0.0888,1.98e+07,1.55e+05
6.31,0.169,0.444,0.0796,0.0599,0.0901,0.169,0.444,0.0796,0.0599,0.0901,1.99e+07,1.55e+05
6.35,0.17,0.449,0.0777,0.0597,0.0894,0.17,0.449,0.0777,0.0597,0.0894,1.99e+07,1.55e+05
6.28,0.17,0.449,0.0784,0.06,0.088,0.17,0.449,0.0784,0.06,0.088,1.99e+07,1.56e+05
6.59,0.17,0.45,0.0786,0.0595,0.0883,0.17,0.45,0.0786,0.0595,0.0883,2e+07,1.56e+05
6.4,0.168,0.449,0.0788,0.0585,0.0871,0.168,0.449,0.0788,0.0585,0.0871,2e+07,1.56e+05
6.42,0.169,0.449,0.0789,0.0597,0.0875,0.169,0.449,0.0789,0.0597,0.0875,2e+07,1.57e+05
6.33,0.169,0.447,0.0775,0.0594,0.0872,0.169,0.447,0.0775,0.0594,0.0872,2.01e+07,1.57e+05
6.38,0.169,0.457,0.0779,0.0593,0.0883,0.169,0.457,0.0779,0.0593,0.0883,2.01e+07,1.57e+05
6.42,0.172,0.463,0.078,0.0581,0.0884,0.172,0.463,0.078,0.0581,0.0884,2.02e+07,1.58e+05
6.2,0.167,0.444,0.0778,0.0594,0.0869,0.167,0.444,0.0778,0.0594,0.0869,2.02e+07,1.58e+05
6.27,0.169,0.451,0.0783,0.0598,0.0883,0.169,0.451,0.0783,0.0598,0.0883,2.02e+07,1.58e+05
6.19,0.17,0.451,0.0792,0.0592,0.0873,0.17,0.451,0.0792,0.0592,0.0873,2.03e+07,1.58e+05
6.37,0.167,0.449,0.0789,0.0585,0.0869,0.167,0.449,0.0789,0.0585,0.0869,2.03e+07,1.59e+05
6.43,0.168,0.451,0.0777,0.059,0.0869,0.168,0.451,0.0777,0.059,0.0869,2.04e+07,1.59e+05
6.38,0.169,0.448,0.0785,0.0581,0.087,0.169,0.448,0.0785,0.0581,0.087,2.04e+07,1.59e+05
6.35,0.17,0.45,0.0787,0.0587,0.0876,0.17,0.45,0.0787,0.0587,0.0876,2.04e+07,1.6e+05
6.42,0.17,0.455,0.0805,0.0586,0.088,0.17,0.455,0.0805,0.0586,0.088,2.05e+07,1.6e+05
6.36,0.17,0.449,0.0788,0.0589,0.0864,0.17,0.449,0.0788,0.0589,0.0864,2.05e+07,1.6e+05
6.45,0.17,0.448,0.0795,0.0595,0.0884,0.17,0.448,0.0795,0.0595,0.0884,2.05e+07,1.60e+05
6.52,0.168,0.45,0.0785,0.0585,0.0877,0.168,0.45,0.0785,0.0585,0.0877,2.06e+07,1.61e+05
6.39,0.17,0.455,0.0801,0.0587,0.0869,0.17,0.455,0.0801,0.0587,0.0869,2.06e+07,1.61e+05
6.25,0.167,0.449,0.0784,0.0582,0.0863,0.167,0.449,0.0784,0.0582,0.0863,2.07e+07,1.61e+05
6.13,0.169,0.45,0.079,0.0582,0.0871,0.169,0.45,0.079,0.0582,0.0871,2.07e+07,1.62e+05
6.42,0.167,0.447,0.0782,0.0583,0.0876,0.167,0.447,0.0782,0.0583,0.0876,2.07e+07,1.62e+05
6.44,0.169,0.452,0.0778,0.0589,0.0869,0.169,0.452,0.0778,0.0589,0.0869,2.08e+07,1.62e+05
6.3,0.169,0.452,0.0781,0.0585,0.0865,0.169,0.452,0.0781,0.0585,0.0865,2.08e+07,1.63e+05
6.46,0.169,0.453,0.0787,0.0574,0.0857,0.169,0.453,0.0787,0.0574,0.0857,2.09e+07,1.63e+05
6.2,0.168,0.449,0.077,0.0586,0.0873,0.168,0.449,0.077,0.0586,0.0873,2.09e+07,1.63e+05
6.2,0.169,0.45,0.0784,0.0591,0.0872,0.169,0.45,0.0784,0.0591,0.0872,2.09e+07,1.64e+05
6.2,0.169,0.454,0.079,0.0584,0.0865,0.169,0.454,0.079,0.0584,0.0865,2.1e+07,1.64e+05
6.45,0.17,0.451,0.0771,0.0584,0.086,0.17,0.451,0.0771,0.0584,0.086,2.1e+07,1.64e+05
6.17,0.167,0.452,0.0787,0.0567,0.0866,0.167,0.452,0.0787,0.0567,0.0866,2.1e+07,1.64e+05
6.22,0.169,0.448,0.0785,0.0579,0.0861,0.169,0.448,0.0785,0.0579,0.0861,2.11e+07,1.65e+05
6.24,0.167,0.449,0.0797,0.0581,0.0856,0.167,0.449,0.0797,0.0581,0.0856,2.11e+07,1.65e+05
6.35,0.169,0.449,0.0786,0.057,0.0861,0.169,0.449,0.0786,0.057,0.0861,2.12e+07,1.65e+05
6.14,0.167,0.446,0.0777,0.0576,0.0862,0.167,0.446,0.0777,0.0576,0.0862,2.12e+07,1.66e+05
6.32,0.169,0.451,0.0803,0.0574,0.0869,0.169,0.451,0.0803,0.0574,0.0869,2.12e+07,1.66e+05
6.29,0.17,0.451,0.0799,0.0572,0.0863,0.17,0.451,0.0799,0.0572,0.0863,2.13e+07,1.66e+05
6.16,0.168,0.451,0.0798,0.058,0.0868,0.168,0.451,0.0798,0.058,0.0868,2.13e+07,1.66e+05
6.21,0.167,0.447,0.079,0.0572,0.0858,0.167,0.447,0.079,0.0572,0.0858,2.14e+07,1.67e+05
6.36,0.17,0.458,0.0789,0.0572,0.0853,0.17,0.458,0.0789,0.0572,0.0853,2.14e+07,1.67e+05
6.12,0.166,0.446,0.0796,0.0577,0.0852,0.166,0.446,0.0796,0.0577,0.0852,2.14e+07,1.67e+05
6.36,0.167,0.448,0.0782,0.0573,0.0848,0.167,0.448,0.0782,0.0573,0.0848,2.15e+07,1.68e+05
6.27,0.168,0.449,0.0792,0.0575,0.086,0.168,0.449,0.0792,0.0575,0.086,2.15e+07,1.68e+05
6.19,0.167,0.445,0.0789,0.0569,0.0862,0.167,0.445,0.0789,0.0569,0.0862,2.15e+07,1.68e+05
6.17,0.168,0.449,0.0778,0.0571,0.0859,0.168,0.449,0.0778,0.0571,0.0859,2.16e+07,1.69e+05
6.31,0.168,0.448,0.0788,0.0574,0.0855,0.168,0.448,0.0788,0.0574,0.0855,2.16e+07,1.69e+05
6.14,0.168,0.448,0.0783,0.0579,0.086,0.168,0.448,0.0783,0.0579,0.086,2.17e+07,1.69e+05
6.08,0.168,0.446,0.0792,0.0571,0.0864,0.168,0.446,0.0792,0.0571,0.0864,2.17e+07,1.7e+05
6.2,0.167,0.446,0.0774,0.0575,0.0863,0.167,0.446,0.0774,0.0575,0.0863,2.17e+07,1.7e+05
6.16,0.167,0.454,0.0783,0.0569,0.085,0.167,0.454,0.0783,0.0569,0.085,2.18e+07,1.7e+05
6.06,0.167,0.447,0.0801,0.0566,0.086,0.167,0.447,0.0801,0.0566,0.086,2.18e+07,1.7e+05
6.11,0.168,0.451,0.0791,0.0566,0.0849,0.168,0.451,0.0791,0.0566,0.0849,2.18e+07,1.71e+05
6.34,0.167,0.452,0.0785,0.0571,0.0846,0.167,0.452,0.0785,0.0571,0.0846,2.19e+07,1.71e+05
6.33,0.167,0.448,0.0796,0.0572,0.0847,0.167,0.448,0.0796,0.0572,0.0847,2.19e+07,1.71e+05
6.04,0.165,0.45,0.0771,0.0567,0.0835,0.165,0.45,0.0771,0.0567,0.0835,2.2e+07,1.72e+05
6.06,0.168,0.45,0.0788,0.0567,0.0848,0.168,0.45,0.0788,0.0567,0.0848,2.2e+07,1.72e+05
6.17,0.167,0.447,0.0777,0.0563,0.0871,0.167,0.447,0.0777,0.0563,0.0871,2.2e+07,1.72e+05
6.07,0.166,0.445,0.0791,0.057,0.086,0.166,0.445,0.0791,0.057,0.086,2.21e+07,1.72e+05
6.2,0.168,0.448,0.0785,0.0569,0.0854,0.168,0.448,0.0785,0.0569,0.0854,2.21e+07,1.73e+05
6.31,0.164,0.445,0.0781,0.0562,0.0835,0.164,0.445,0.0781,0.0562,0.0835,2.22e+07,1.73e+05
6.06,0.165,0.442,0.0785,0.0567,0.0854,0.165,0.442,0.0785,0.0567,0.0854,2.22e+07,1.73e+05
6.18,0.167,0.448,0.0793,0.057,0.0851,0.167,0.448,0.0793,0.057,0.0851,2.22e+07,1.74e+05
6.04,0.167,0.447,0.0772,0.0571,0.0851,0.167,0.447,0.0772,0.0571,0.0851,2.23e+07,1.74e+05
6.14,0.167,0.448,0.0791,0.0562,0.0857,0.167,0.448,0.0791,0.0562,0.0857,2.23e+07,1.74e+05
6.19,0.167,0.447,0.08,0.0567,0.0849,0.167,0.447,0.08,0.0567,0.0849,2.23e+07,1.75e+05
5.9,0.168,0.45,0.0789,0.0571,0.0851,0.168,0.45,0.0789,0.0571,0.0851,2.24e+07,1.75e+05
6.23,0.17,0.449,0.079,0.0564,0.086,0.17,0.449,0.079,0.0564,0.086,2.24e+07,1.75e+05
6.22,0.165,0.441,0.0793,0.057,0.0851,0.165,0.441,0.0793,0.057,0.0851,2.25e+07,1.76e+05
6.09,0.169,0.448,0.0794,0.0567,0.085,0.169,0.448,0.0794,0.0567,0.085,2.25e+07,1.76e+05
6,0.167,0.443,0.0782,0.0566,0.0845,0.167,0.443,0.0782,0.0566,0.0845,2.25e+07,1.76e+05
6.19,0.168,0.453,0.0792,0.0559,0.0842,0.168,0.453,0.0792,0.0559,0.0842,2.26e+07,1.76e+05
6.05,0.167,0.445,0.0786,0.0555,0.0844,0.167,0.445,0.0786,0.0555,0.0844,2.26e+07,1.77e+05
6.02,0.167,0.449,0.0792,0.0565,0.0849,0.167,0.449,0.0792,0.0565,0.0849,2.27e+07,1.77e+05
6.21,0.166,0.445,0.0778,0.0563,0.085,0.166,0.445,0.0778,0.0563,0.085,2.27e+07,1.77e+05
6.16,0.167,0.45,0.0797,0.0569,0.0844,0.167,0.45,0.0797,0.0569,0.0844,2.27e+07,1.78e+05
6.12,0.168,0.448,0.0786,0.0559,0.085,0.168,0.448,0.0786,0.0559,0.085,2.28e+07,1.78e+05
6.04,0.166,0.445,0.0778,0.0559,0.0837,0.166,0.445,0.0778,0.0559,0.0837,2.28e+07,1.78e+05
6.02,0.167,0.446,0.0803,0.0569,0.0848,0.167,0.446,0.0803,0.0569,0.0848,2.28e+07,1.78e+05
6.02,0.167,0.447,0.078,0.0561,0.0849,0.167,0.447,0.078,0.0561,0.0849,2.29e+07,1.79e+05
6.31,0.168,0.449,0.0776,0.0572,0.084,0.168,0.449,0.0776,0.0572,0.084,2.29e+07,1.79e+05
6,0.168,0.451,0.0782,0.0565,0.0844,0.168,0.451,0.0782,0.0565,0.0844,2.3e+07,1.79e+05
6.14,0.168,0.454,0.0786,0.0565,0.0842,0.168,0.454,0.0786,0.0565,0.0842,2.3e+07,1.8e+05
6.02,0.168,0.445,0.0786,0.057,0.0849,0.168,0.445,0.0786,0.057,0.0849,2.3e+07,1.8e+05
6.03,0.168,0.45,0.0795,0.0567,0.083,0.168,0.45,0.0795,0.0567,0.083,2.31e+07,1.8e+05
6.18,0.166,0.445,0.0795,0.0565,0.0841,0.166,0.445,0.0795,0.0565,0.0841,2.31e+07,1.81e+05
5.9,0.167,0.447,0.078,0.0566,0.0843,0.167,0.447,0.078,0.0566,0.0843,2.32e+07,1.81e+05
6.06,0.168,0.452,0.0794,0.056,0.0852,0.168,0.452,0.0794,0.056,0.0852,2.32e+07,1.81e+05
6.13,0.168,0.451,0.0791,0.0562,0.0845,0.168,0.451,0.0791,0.0562,0.0845,2.32e+07,1.82e+05
6.14,0.169,0.45,0.0776,0.0562,0.0837,0.169,0.45,0.0776,0.0562,0.0837,2.33e+07,1.82e+05
6.12,0.166,0.448,0.0783,0.0564,0.084,0.166,0.448,0.0783,0.0564,0.084,2.33e+07,1.82e+05
6.11,0.168,0.453,0.0791,0.0555,0.0835,0.168,0.453,0.0791,0.0555,0.0835,2.33e+07,1.82e+05
5.96,0.167,0.45,0.0798,0.0566,0.0835,0.167,0.45,0.0798,0.0566,0.0835,2.34e+07,1.83e+05
6.03,0.165,0.449,0.0778,0.055,0.0833,0.165,0.449,0.0778,0.055,0.0833,2.34e+07,1.83e+05
6.02,0.167,0.447,0.0805,0.0562,0.0832,0.167,0.447,0.0805,0.0562,0.0832,2.35e+07,1.83e+05
5.9,0.167,0.447,0.0784,0.0558,0.0844,0.167,0.447,0.0784,0.0558,0.0844,2.35e+07,1.84e+05
6.23,0.166,0.442,0.0783,0.0558,0.0841,0.166,0.442,0.0783,0.0558,0.0841,2.35e+07,1.84e+05
5.76,0.164,0.438,0.079,0.0555,0.083,0.164,0.438,0.079,0.0555,0.083,2.36e+07,1.84e+05
5.86,0.165,0.446,0.0778,0.0567,0.0832,0.165,0.446,0.0778,0.0567,0.0832,2.36e+07,1.84e+05
5.96,0.166,0.444,0.0781,0.0561,0.0837,0.166,0.444,0.0781,0.0561,0.0837,2.37e+07,1.85e+05
5.95,0.166,0.444,0.0789,0.055,0.0839,0.166,0.444,0.0789,0.055,0.0839,2.37e+07,1.85e+05
6.1,0.165,0.449,0.0778,0.055,0.0834,0.165,0.449,0.0778,0.055,0.0834,2.37e+07,1.85e+05
5.91,0.167,0.445,0.0784,0.0552,0.0848,0.167,0.445,0.0784,0.0552,0.0848,2.38e+07,1.86e+05
5.99,0.165,0.446,0.0785,0.0555,0.0838,0.165,0.446,0.0785,0.0555,0.0838,2.38e+07,1.86e+05
6.01,0.165,0.445,0.0788,0.0549,0.0842,0.165,0.445,0.0788,0.0549,0.0842,2.38e+07,1.86e+05
6,0.164,0.443,0.078,0.056,0.0828,0.164,0.443,0.078,0.056,0.0828,2.39e+07,1.87e+05
5.98,0.164,0.444,0.0796,0.0564,0.0829,0.164,0.444,0.0796,0.0564,0.0829,2.39e+07,1.87e+05
5.97,0.167,0.448,0.0792,0.0552,0.0835,0.167,0.448,0.0792,0.0552,0.0835,2.4e+07,1.87e+05
5.81,0.166,0.449,0.0781,0.0558,0.0834,0.166,0.449,0.0781,0.0558,0.0834,2.4e+07,1.88e+05
5.89,0.165,0.445,0.0796,0.055,0.0839,0.165,0.445,0.0796,0.055,0.0839,2.4e+07,1.88e+05
5.88,0.167,0.45,0.0793,0.0564,0.0825,0.167,0.45,0.0793,0.0564,0.0825,2.41e+07,1.88e+05
5.89,0.164,0.441,0.0789,0.0555,0.0836,0.164,0.441,0.0789,0.0555,0.0836,2.41e+07,1.88e+05
5.96,0.166,0.447,0.0786,0.056,0.0835,0.166,0.447,0.0786,0.056,0.0835,2.42e+07,1.89e+05
5.98,0.167,0.446,0.0791,0.0557,0.0831,0.167,0.446,0.0791,0.0557,0.0831,2.42e+07,1.89e+05
5.94,0.167,0.45,0.08,0.0554,0.0827,0.167,0.45,0.08,0.0554,0.0827,2.42e+07,1.89e+05
5.89,0.167,0.445,0.0793,0.0551,0.0829,0.167,0.445,0.0793,0.0551,0.0829,2.43e+07,1.9e+05
6.06,0.166,0.443,0.0775,0.0563,0.0839,0.166,0.443,0.0775,0.0563,0.0839,2.43e+07,1.9e+05
5.95,0.167,0.447,0.0778,0.0554,0.0849,0.167,0.447,0.0778,0.0554,0.0849,2.43e+07,1.9e+05
5.93,0.166,0.443,0.0772,0.0562,0.084,0.166,0.443,0.0772,0.0562,0.084,2.44e+07,1.90e+05
5.8,0.166,0.446,0.0792,0.0553,0.0835,0.166,0.446,0.0792,0.0553,0.0835,2.44e+07,1.91e+05
6,0.167,0.449,0.08,0.056,0.0837,0.167,0.449,0.08,0.056,0.0837,2.45e+07,1.91e+05
5.91,0.165,0.441,0.0799,0.0565,0.0824,0.165,0.441,0.0799,0.0565,0.0824,2.45e+07,1.91e+05
5.99,0.165,0.442,0.0798,0.0558,0.0836,0.165,0.442,0.0798,0.0558,0.0836,2.45e+07,1.92e+05
5.87,0.166,0.445,0.0781,0.055,0.0835,0.166,0.445,0.0781,0.055,0.0835,2.46e+07,1.92e+05
5.94,0.166,0.442,0.0801,0.0549,0.0829,0.166,0.442,0.0801,0.0549,0.0829,2.46e+07,1.92e+05
5.78,0.166,0.447,0.079,0.0552,0.0811,0.166,0.447,0.079,0.0552,0.0811,2.47e+07,1.93e+05
5.88,0.165,0.441,0.079,0.0564,0.0822,0.165,0.441,0.079,0.0564,0.0822,2.47e+07,1.93e+05
6.01,0.168,0.451,0.0782,0.0562,0.0831,0.168,0.451,0.0782,0.0562,0.0831,2.47e+07,1.93e+05
5.79,0.166,0.441,0.0787,0.055,0.0834,0.166,0.441,0.0787,0.055,0.0834,2.48e+07,1.94e+05
5.86,0.164,0.441,0.0783,0.056,0.0837,0.164,0.441,0.0783,0.056,0.0837,2.48e+07,1.94e+05
5.6,0.164,0.442,0.0784,0.0547,0.082,0.164,0.442,0.0784,0.0547,0.082,2.48e+07,1.94e+05
6,0.168,0.447,0.0806,0.0559,0.0838,0.168,0.447,0.0806,0.0559,0.0838,2.49e+07,1.94e+05
5.77,0.166,0.448,0.0783,0.0544,0.083,0.166,0.448,0.0783,0.0544,0.083,2.49e+07,1.95e+05
5.72,0.165,0.446,0.0784,0.0545,0.0819,0.165,0.446,0.0784,0.0545,0.0819,2.5e+07,1.95e+05
5.74,0.165,0.445,0.0796,0.0559,0.0818,0.165,0.445,0.0796,0.0559,0.0818,2.5e+07,1.95e+05
5.89,0.165,0.44,0.0796,0.0552,0.0819,0.165,0.44,0.0796,0.0552,0.0819,2.5e+07,1.96e+05
6,0.165,0.445,0.079,0.0551,0.0826,0.165,0.445,0.079,0.0551,0.0826,2.51e+07,1.96e+05
5.83,0.167,0.447,0.08,0.0554,0.0832,0.167,0.447,0.08,0.0554,0.0832,2.51e+07,1.96e+05
5.76,0.163,0.44,0.0792,0.0554,0.0816,0.163,0.44,0.0792,0.0554,0.0816,2.52e+07,1.96e+05
5.81,0.165,0.441,0.079,0.0556,0.0823,0.165,0.441,0.079,0.0556,0.0823,2.52e+07,1.97e+05
5.82,0.166,0.445,0.0793,0.0551,0.0821,0.166,0.445,0.0793,0.0551,0.0821,2.52e+07,1.97e+05
5.79,0.164,0.445,0.0785,0.0553,0.0815,0.164,0.445,0.0785,0.0553,0.0815,2.53e+07,1.97e+05
5.92,0.165,0.448,0.0788,0.0545,0.0817,0.165,0.448,0.0788,0.0545,0.0817,2.53e+07,1.98e+05
5.78,0.165,0.446,0.0793,0.0546,0.0827,0.165,0.446,0.0793,0.0546,0.0827,2.53e+07,1.98e+05
5.86,0.167,0.445,0.0783,0.0549,0.0831,0.167,0.445,0.0783,0.0549,0.0831,2.54e+07,1.98e+05
5.84,0.164,0.435,0.0792,0.0555,0.0828,0.164,0.435,0.0792,0.0555,0.0828,2.54e+07,1.99e+05
5.9,0.165,0.44,0.0804,0.0558,0.0822,0.165,0.44,0.0804,0.0558,0.0822,2.55e+07,1.99e+05
5.75,0.165,0.442,0.0797,0.0546,0.0837,0.165,0.442,0.0797,0.0546,0.0837,2.55e+07,1.99e+05
5.75,0.165,0.446,0.0794,0.0549,0.0812,0.165,0.446,0.0794,0.0549,0.0812,2.55e+07,2e+05
5.92,0.164,0.44,0.0779,0.0552,0.0825,0.164,0.44,0.0779,0.0552,0.0825,2.56e+07,2e+05
5.75,0.165,0.442,0.0779,0.0553,0.0814,0.165,0.442,0.0779,0.0553,0.0814,2.56e+07,2e+05
5.75,0.162,0.432,0.0786,0.0546,0.0811,0.162,0.432,0.0786,0.0546,0.0811,2.57e+07,2e+05
5.83,0.165,0.444,0.0776,0.0548,0.0823,0.165,0.444,0.0776,0.0548,0.0823,2.57e+07,2.01e+05
5.71,0.166,0.443,0.0787,0.0554,0.0822,0.166,0.443,0.0787,0.0554,0.0822,2.57e+07,2.01e+05
5.69,0.164,0.447,0.0792,0.055,0.0815,0.164,0.447,0.0792,0.055,0.0815,2.58e+07,2.01e+05
5.69,0.164,0.441,0.078,0.0535,0.0816,0.164,0.441,0.078,0.0535,0.0816,2.58e+07,2.02e+05
5.89,0.164,0.445,0.0782,0.0538,0.0819,0.164,0.445,0.0782,0.0538,0.0819,2.58e+07,2.02e+05
5.77,0.165,0.44,0.0787,0.0555,0.0814,0.165,0.44,0.0787,0.0555,0.0814,2.59e+07,2.02e+05
5.74,0.163,0.434,0.0792,0.0547,0.0822,0.163,0.434,0.0792,0.0547,0.0822,2.59e+07,2.02e+05
5.75,0.164,0.444,0.0791,0.0549,0.081,0.164,0.444,0.0791,0.0549,0.081,2.6e+07,2.03e+05
5.63,0.167,0.45,0.0794,0.0555,0.0813,0.167,0.45,0.0794,0.0555,0.0813,2.6e+07,2.03e+05
5.74,0.164,0.446,0.0784,0.055,0.0803,0.164,0.446,0.0784,0.055,0.0803,2.6e+07,2.03e+05
5.87,0.163,0.44,0.0803,0.0542,0.081,0.163,0.44,0.0803,0.0542,0.081,2.61e+07,2.04e+05
5.78,0.166,0.444,0.0784,0.0545,0.0807,0.166,0.444,0.0784,0.0545,0.0807,2.61e+07,2.04e+05
5.78,0.163,0.436,0.0789,0.0545,0.0816,0.163,0.436,0.0789,0.0545,0.0816,2.62e+07,2.04e+05
5.78,0.164,0.443,0.0794,0.0547,0.0806,0.164,0.443,0.0794,0.0547,0.0806,2.62e+07,2.05e+05
5.58,0.162,0.438,0.0787,0.0544,0.0809,0.162,0.438,0.0787,0.0544,0.0809,2.62e+07,2.05e+05
5.79,0.165,0.445,0.0785,0.0543,0.0795,0.165,0.445,0.0785,0.0543,0.0795,2.63e+07,2.05e+05
5.79,0.165,0.442,0.0794,0.0557,0.082,0.165,0.442,0.0794,0.0557,0.082,2.63e+07,2.06e+05
5.8,0.165,0.445,0.0788,0.0556,0.0822,0.165,0.445,0.0788,0.0556,0.0822,2.63e+07,2.06e+05
5.55,0.162,0.436,0.0798,0.0531,0.081,0.162,0.436,0.0798,0.0531,0.081,2.64e+07,2.06e+05
5.89,0.163,0.438,0.0791,0.0544,0.0811,0.163,0.438,0.0791,0.0544,0.0811,2.64e+07,2.06e+05
5.71,0.162,0.437,0.0774,0.0556,0.0807,0.162,0.437,0.0774,0.0556,0.0807,2.65e+07,2.07e+05
5.71,0.162,0.439,0.0787,0.0541,0.0806,0.162,0.439,0.0787,0.0541,0.0806,2.65e+07,2.07e+05
5.79,0.165,0.44,0.0792,0.0555,0.0806,0.165,0.44,0.0792,0.0555,0.0806,2.65e+07,2.07e+05
5.61,0.163,0.443,0.0778,0.0552,0.0803,0.163,0.443,0.0778,0.0552,0.0803,2.66e+07,2.08e+05
5.72,0.165,0.437,0.0801,0.0552,0.0815,0.165,0.437,0.0801,0.0552,0.0815,2.66e+07,2.08e+05
5.46,0.161,0.433,0.0794,0.0551,0.0816,0.161,0.433,0.0794,0.0551,0.0816,2.66e+07,2.08e+05
5.74,0.163,0.442,0.0784,0.0543,0.0804,0.163,0.442,0.0784,0.0543,0.0804,2.67e+07,2.08e+05
